publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Bildung und Erziehung	0006-2456	2194-3834	1948	1		2017	70		https://www.degruyter.com/openurl?genre=journal&issn=2194-3834		2194-3834		fulltext		Böhlau Verlag	serial								P
Bio-Algorithms and Med-Systems 	1895-9091	1896-530X	2012	8		2017	13		https://www.degruyter.com/openurl?genre=journal&issn=1896-530X		1896-530X		fulltext		De Gruyter	serial								P
BioInorganic Reaction Mechanisms	2191-2483	2191-2491	2003	5		2013	9		https://www.degruyter.com/openurl?genre=journal&issn=2191-2491		2191-2491		fulltext		De Gruyter	serial								P
Biological Chemistry	1431-6730	1437-4315	1878	1		2017	398		https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1956	1		2017	62		https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext		De Gruyter	serial								P
Biomolecular Concepts	1868-5021	1868-503X	2010	1		2017	8		https://www.degruyter.com/openurl?genre=journal&issn=1868-503X		1868-503X		fulltext		De Gruyter	serial								F
BioNanoMaterials	2193-0651	2193-066X	2000	1		2017	18		https://www.degruyter.com/openurl?genre=journal&issn=2193-066X		2193-066X		fulltext		De Gruyter	serial								F
Botanica Marina	0006-8055	1437-4323	1959	1		2017	60		https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P
Business and Politics	1369-5258	1469-3569	1999	1		2016	18		https://www.degruyter.com/openurl?genre=journal&issn=1469-3569		1469-3569		fulltext		De Gruyter	serial								P
Byzantinische Zeitschrift	0007-7704	1868-9027	1892	1		2017	110		https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext		De Gruyter	serial								P
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012	1		2017	6		https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext		De Gruyter	serial								P
Chemical Product and Process Modeling	2194-6159	1934-2659	2006	1		2017	12		https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P
Chinese Archaeology	2160-5025	2160-5068	2001			2017			https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext		De Gruyter	serial								P
Chinese as a Second Language Research	2193-2263	2193-2271	2012	1		2017	6		https://www.degruyter.com/openurl?genre=journal&issn=2193-2271		2193-2271		fulltext		De Gruyter Mouton	serial								P
Chinese Journal of Applied Linguistics	2192-9505	2192-9513	2011	34		2017	40		https://www.degruyter.com/openurl?genre=journal&issn=2192-9513		2192-9513		fulltext		De Gruyter Mouton	serial								P
Chinese Semiotic Studies	2198-9605	2198-9613	2009			2017	13		https://www.degruyter.com/openurl?genre=journal&issn=2198-9613		2198-9613		fulltext		De Gruyter Mouton	serial								P
Clinical Chemistry and Laboratory Medicine (CCLM)	1434-6621	1437-4331	1963	1		2017	55		https://www.degruyter.com/openurl?genre=journal&issn=1437-4331		1437-4331		fulltext		De Gruyter	serial								P
Cognitive Linguistics	0936-5907	1613-3641	1990	1		2017	28		https://www.degruyter.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext		De Gruyter Mouton	serial								P
Communications	0341-2059	1613-4087	1976	2		2017	42		https://www.degruyter.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext		De Gruyter Mouton	serial								P
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001	1		2017	17		https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext		De Gruyter	serial								P
Computer Law Review International	1610-7608	2194-4164	2005	6		2017	18		https://www.degruyter.com/openurl?genre=journal&issn=2194-4164		2194-4164		fulltext		Verlag Dr. Otto Schmidt	serial								P
Computer und Recht	0179-1990	2194-4172	2005	21		2017	33		https://www.degruyter.com/openurl?genre=journal&issn=2194-4172		2194-4172		fulltext		Verlag Dr. Otto Schmidt	serial								P
Conceptus	0010-5155	2196-9523	2008	37		2016	45		https://www.degruyter.com/openurl?genre=journal&issn=2196-9523		2196-9523		fulltext		De Gruyter	serial								P
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2005	1		2017	13		https://www.degruyter.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext		De Gruyter Mouton	serial								P
Corrosion Reviews	0334-6005	2191-0316	1987	7		2017	35		https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P
Das Mittelalter	0949-0345	2196-6869	1996	1		2017	22		https://www.degruyter.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext		Akademie Verlag	serial								P
Demokratie und Geschichte	2227-7633	2307-2881	1997			2017			https://www.degruyter.com/openurl?genre=journal&issn=2307-2881		2307-2881		fulltext		Böhlau Verlag	yearbook								P
Der Donauraum	0012-5415	2307-289X	1956	1		2017	57		https://www.degruyter.com/openurl?genre=journal&issn=2307-289X		2307-289X		fulltext		Böhlau Verlag	serial								P
Der Islam	0021-1818	1613-0928	1910	1		2017	94		https://www.degruyter.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext		De Gruyter	serial								P
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1953	1		2017	65		https://www.degruyter.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext		De Gruyter (A)	serial								P
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht	1439-1589	1612-7056	1991	1		2017	27		https://www.degruyter.com/openurl?genre=journal&issn=1612-7056		1612-7056		fulltext		De Gruyter	serial								P
Deutsches Dante-Jahrbuch	0070-444X	2194-4059	1867			2017			https://www.degruyter.com/openurl?genre=journal&issn=2194-4059		2194-4059		fulltext		De Gruyter	yearbook								P
Dialectologia et Geolinguistica	0942-4040	1867-0903	1993	1993		2017			https://www.degruyter.com/openurl?genre=journal&issn=1867-0903		1867-0903		fulltext		De Gruyter Mouton	serial								P
Discrete Mathematics and Applications	0924-9265	1569-3929	1991	1		2017	27		https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1980	3		2017	32		https://www.degruyter.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext		De Gruyter	serial								P
editio	0931-3079	1865-9446	1988	2		2017			https://www.degruyter.com/openurl?genre=journal&issn=1865-9446		1865-9446		fulltext		De Gruyter	yearbook								P
Energy Harvesting and Systems	2329-8774	2329-8766	2014	1		2017	4		https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								P
English and American Studies in German	0071-0490	1865-8946	1969			2017			https://www.degruyter.com/openurl?genre=journal&issn=1865-8946		1865-8946		fulltext		De Gruyter	yearbook								P
Entrepreneurship Research Journal	2194-6175	2157-5665	2011	1		2017	7		https://www.degruyter.com/openurl?genre=journal&issn=2157-5665		2157-5665		fulltext		De Gruyter	serial								P
Epidemiologic Methods	2194-9263	2161-962X	2012	1		2017	6		https://www.degruyter.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext		De Gruyter	serial								P
e-Polymers 	2197-4586	1618-7229	2001	1		2017	17		https://www.degruyter.com/openurl?genre=journal&issn=1618-7229		1618-7229		fulltext		De Gruyter	serial								F
Etruscan and Italic Studies	2566-9095	2566-9109	1994			2017	20		https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext		De Gruyter	serial								P
European Company and Financial Law Review	1613-2548	1613-2556	2004	1		2017	14		https://www.degruyter.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext		De Gruyter	serial								P
European Journal of Applied Linguistics	2192-9521	2192-953X	2013	1		2017	5		https://www.degruyter.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext		De Gruyter Mouton	serial								P
European Journal of Nanomedicine	1662-5986	1662-596X	2008	1		2017	9		https://www.degruyter.com/openurl?genre=journal&issn=1662-596X		1662-596X		fulltext		De Gruyter	serial								P
European Journal of Scandinavian Studies	2191-9399	2191-9402	2010			2017	47		https://www.degruyter.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext		De Gruyter	serial								P
European Property Law Journal 	2190-8273	2190-8362	2011	1		2017	6		https://www.degruyter.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext		De Gruyter	serial								P
European Review of Contract Law	1614-9920	1614-9939	1967	1		2017	13		https://www.degruyter.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext		De Gruyter	serial								P
European Tort Law Yearbook 	2190-7773	2190-7781	2009			2017			https://www.degruyter.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext		De Gruyter	yearbook								P
Evangelische Theologie	0014-3502	2198-0470	1934	1		2017	77		https://www.degruyter.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext		Gütersloher Verlagshaus	serial								P
Fabula	0014-6242	1613-0464	1958	1		2017	58		https://www.degruyter.com/openurl?genre=journal&issn=1613-0464		1613-0464		fulltext		De Gruyter	serial								P
Figurationen	1439-4367	2194-363X	1999			2017	18		https://www.degruyter.com/openurl?genre=journal&issn=2194-363X		2194-363X		fulltext		Böhlau Verlag	serial								P
FinanzRundschau	2567-4765	2567-4897	2005	87		2017	99		https://www.degruyter.com/openurl?genre=journal&issn=2567-4897		2567-4897		fulltext		Verlag Dr. Otto Schmidt	serial								P
Folia Linguistica	0165-4004	1614-7308	1967	1		2017	51		https://www.degruyter.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext		De Gruyter Mouton	serial								P
Forum for Health Economics & Policy	2194-6191	1558-9544	1998	1		2017	20		https://www.degruyter.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext		De Gruyter	serial								P
FORUM für osteuropäische Zeit- und Ideengeschichte	1433-4887	2194-3672	1997	1		2013	17		https://www.degruyter.com/openurl?genre=journal&issn=2194-3672		2194-3672		fulltext		Böhlau Verlag	serial								P
Forum Mathematicum 	0933-7741	1435-5337	1989	1		2017	29		https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P
Frequenz	0016-1136	2191-6349	1949	3		2017	71		https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext		De Gruyter	serial								P
Frühmittelalterliche Studien	0071-9706	1613-0812	1967	1		2017			https://www.degruyter.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext		De Gruyter	yearbook								P
George-Jahrbuch	1430-2519	1865-8881	2009			2013			https://www.degruyter.com/openurl?genre=journal&issn=1865-8881		1865-8881		fulltext		De Gruyter	yearbook								P
Georgian Mathematical Journal	1072-947X	1572-9176	1994	1		2017	24		https://www.degruyter.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext		De Gruyter	serial								P
Germanistik	0016-8912	1865-9187	2007	48		2017	58		https://www.degruyter.com/openurl?genre=journal&issn=1865-9187		1865-9187		fulltext		De Gruyter	serial								P
Geschichte in Köln	0720-3659	2198-0667	1978	1		2017	64		https://www.degruyter.com/openurl?genre=journal&issn=2198-0667		2198-0667		fulltext		Böhlau Verlag	serial								P
GesundheitsRecht	1610-1197	2194-4229	2005	2		2017	16		https://www.degruyter.com/openurl?genre=journal&issn=2194-4229		2194-4229		fulltext		Verlag Dr. Otto Schmidt	serial								P
Global Economy Journal	2194-5659	1553-5304	2000	1		2017	17		https://www.degruyter.com/openurl?genre=journal&issn=1553-5304		1553-5304		fulltext		De Gruyter	serial								P
Global Jurist	2194-5675	1934-2640	2001	1		2017	17		https://www.degruyter.com/openurl?genre=journal&issn=1934-2640		1934-2640		fulltext		De Gruyter	serial								P
Glottotheory 	1337-7892	2196-6907	2008	1		2017	8		https://www.degruyter.com/openurl?genre=journal&issn=2196-6907		2196-6907		fulltext		De Gruyter (A)	serial								P
Green	1869-876X	1869-8778	2011	1		2015	5		https://www.degruyter.com/openurl?genre=journal&issn=1869-8778		1869-8778		fulltext		De Gruyter	serial								P
Green Processing and Synthesis	2191-9542	2191-9550	2012	1		2017	6		https://www.degruyter.com/openurl?genre=journal&issn=2191-9550		2191-9550		fulltext		De Gruyter	serial								F
Groups Complexity Cryptology	1867-1144	1869-6104	2009	1		2017	9		https://www.degruyter.com/openurl?genre=journal&issn=1869-6104		1869-6104		fulltext		De Gruyter	serial								P
Hegel-Jahrbuch	0073-1579	2192-5550	1999			2017			https://www.degruyter.com/openurl?genre=journal&issn=2192-5550		2192-5550		fulltext		Akademie Verlag	yearbook								P
Helia	1018-1806	2197-0483	2000	23		2017	40		https://www.degruyter.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext		De Gruyter	serial								P
Heterocyclic Communications	0793-0283	2191-0197	1994	1		2017	23		https://www.degruyter.com/openurl?genre=journal&issn=2191-0197		2191-0197		fulltext		De Gruyter	serial								F
High Temperature Materials and Processes	0334-6455	2191-0324	1984	6		2017	36		https://www.degruyter.com/openurl?genre=journal&issn=2191-0324		2191-0324		fulltext		De Gruyter	serial								F
Historische Anthropologie	0942-8704	2194-4032	1993	1		2017	25		https://www.degruyter.com/openurl?genre=journal&issn=2194-4032		2194-4032		fulltext		Böhlau Verlag	serial								P
Historische Zeitschrift	0018-2613	2196-680X	1859	1-2		2017	305		https://www.degruyter.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext		De Gruyter Oldenbourg	serial								P
Historisch-Politische Mitteilungen	0943-691X	2194-4040	1994	1		2017			https://www.degruyter.com/openurl?genre=journal&issn=2194-4040		2194-4040		fulltext		Böhlau Verlag	yearbook								P
Holzforschung	0018-3830	1437-434X	1947	1		2017	71		https://www.degruyter.com/openurl?genre=journal&issn=1437-434X		1437-434X		fulltext		De Gruyter	serial								P
Hormone Molecular Biology and Clinical Investigation	1868-1883	1868-1891	2010			2017	32		https://www.degruyter.com/openurl?genre=journal&issn=1868-1891		1868-1891		fulltext		De Gruyter	serial								P
HUMOR	0933-1719	1613-3722	1988	1		2017	30		https://www.degruyter.com/openurl?genre=journal&issn=1613-3722		1613-3722		fulltext		De Gruyter Mouton	serial								P
Iberoromania	0019-0993	1865-9039	1969			2017			https://www.degruyter.com/openurl?genre=journal&issn=1865-9039		1865-9039		fulltext		De Gruyter	serial								P
i-com	1618-162X	2196-6826	2001			2017	16		https://www.degruyter.com/openurl?genre=journal&issn=2196-6826		2196-6826		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Indogermanische Forschungen	0019-7262	1613-0405	1892			2017			https://www.degruyter.com/openurl?genre=journal&issn=1613-0405		1613-0405		fulltext		De Gruyter	yearbook								P
Information - Wissenschaft & Praxis	1434-4653	1619-4292	2012	63		2017	68		https://www.degruyter.com/openurl?genre=journal&issn=1619-4292		1619-4292		fulltext		De Gruyter Saur	serial								P
Innovative Neurosurgery	2193-522X	2193-5238	2013	1		2016	4		https://www.degruyter.com/openurl?genre=journal&issn=2193-5238		2193-5238		fulltext		De Gruyter	serial								P
Intercultural Pragmatics	1612-295X	1613-365X	2004	1		2017	14		https://www.degruyter.com/openurl?genre=journal&issn=1613-365X		1613-365X		fulltext		De Gruyter Mouton	serial								P
International African Bibliography	0020-5877	1865-9640	1971	1		2015	45		https://www.degruyter.com/openurl?genre=journal&issn=1865-9640		1865-9640		fulltext		De Gruyter	serial								P
International Commentary on Evidence	2194-5691	1554-4567	1998	1		2017	15		https://www.degruyter.com/openurl?genre=journal&issn=1554-4567		1554-4567		fulltext		De Gruyter	serial								P
International Journal of Adolescent Medicine and Health 	0334-0139	2191-0278	1985	1		2017	29		https://www.degruyter.com/openurl?genre=journal&issn=2191-0278		2191-0278		fulltext		De Gruyter	serial								P
International Journal of Chemical Reactor Engineering	2194-5748	1542-6580	2003	1		2017	15		https://www.degruyter.com/openurl?genre=journal&issn=1542-6580		1542-6580		fulltext		De Gruyter	serial								P
International Journal of Emerging Electric Power Systems	2194-5756	1553-779X	2004	1		2017	18		https://www.degruyter.com/openurl?genre=journal&issn=1553-779X		1553-779X		fulltext		De Gruyter	serial								P
International Journal of Food Engineering	2194-5764	1556-3758	2005	1		2017	13		https://www.degruyter.com/openurl?genre=journal&issn=1556-3758		1556-3758		fulltext		De Gruyter	serial								P
International Journal of Nonlinear Sciences and Numerical Simulation	1565-1339	2191-0294	2000	1		2017	18		https://www.degruyter.com/openurl?genre=journal&issn=2191-0294		2191-0294		fulltext		De Gruyter	serial								P
International Journal of Nursing Education Scholarship	2194-5772	1548-923X	2004	1		2017	14		https://www.degruyter.com/openurl?genre=journal&issn=1548-923X		1548-923X		fulltext		De Gruyter	serial								P
International Journal of Practical Theology 	1430-6921	1612-9768	1997	1		2017	21		https://www.degruyter.com/openurl?genre=journal&issn=1612-9768		1612-9768		fulltext		De Gruyter	serial								P
International Journal of the Sociology of Language	0165-2516	1613-3668	1974			2017			https://www.degruyter.com/openurl?genre=journal&issn=1613-3668		1613-3668		fulltext		De Gruyter Mouton	serial								P
International Journal of Turbo & Jet-Engines 	0334-0082	2191-0332	1985	2		2017	34		https://www.degruyter.com/openurl?genre=journal&issn=2191-0332		2191-0332		fulltext		De Gruyter	serial								P
International Journal on Disability and Human Development	2191-1231	2191-0367	1999	1		2017	16		https://www.degruyter.com/openurl?genre=journal&issn=2191-0367		2191-0367		fulltext		De Gruyter	serial								P
International Review of Applied Linguistics in Language Teaching	0019-042X	1613-4141	1963	1		2017	55		https://www.degruyter.com/openurl?genre=journal&issn=1613-4141		1613-4141		fulltext		De Gruyter Mouton	serial								P
International Yearbook for Tillich Research	1990-4231	2190-7455	2011			2017			https://www.degruyter.com/openurl?genre=journal&issn=2190-7455		2190-7455		fulltext		De Gruyter	yearbook								P
International Yearbook of Futurism Studies	2192-0281	2192-029X	2011			2013			https://www.degruyter.com/openurl?genre=journal&issn=2192-029X		2192-029X		fulltext		De Gruyter	yearbook								P
Internationales Archiv für Sozialgeschichte der deutschen Literatur	0340-4528	1865-9128	1976	1		2017	42		https://www.degruyter.com/openurl?genre=journal&issn=1865-9128		1865-9128		fulltext		De Gruyter	serial								P
Internationales Handelsrecht	1617-5395	2193-9527	1999			2017	17		https://www.degruyter.com/openurl?genre=journal&issn=2193-9527		2193-9527		fulltext		Verlag Dr. Otto Schmidt	serial								P
Internationales Jahrbuch der Erwachsenenbildung	0074-9818	2194-3699	1969			2017			https://www.degruyter.com/openurl?genre=journal&issn=2194-3699		2194-3699		fulltext		Böhlau Verlag	yearbook								P
Internationales Jahrbuch für philosophische Anthropologie	2192-4279	2192-4287	2008			2017			https://www.degruyter.com/openurl?genre=journal&issn=2192-4287		2192-4287		fulltext		De Gruyter (A)	yearbook								P
Issues in Legal Scholarship	2194-5780	1539-8323	2001	1		2017	15		https://www.degruyter.com/openurl?genre=journal&issn=1539-8323		1539-8323		fulltext		De Gruyter	serial								P
it - Information Technology	1611-2776	2196-7032	1959			2017	59		https://www.degruyter.com/openurl?genre=journal&issn=2196-7032		2196-7032		fulltext		De Gruyter Oldenbourg	serial								P
Jahrbuch der Göttinger Akademie der Wissenschaften	0373-9767	1868-9191	2008			2016			https://www.degruyter.com/openurl?genre=journal&issn=1868-9191		1868-9191		fulltext		De Gruyter	yearbook								P
Jahrbuch der Juristischen Zeitgeschichte	1869-6899	1869-6902	2010			2017			https://www.degruyter.com/openurl?genre=journal&issn=1869-6902		1869-6902		fulltext		De Gruyter	yearbook								P
Jahrbuch der Raabe-Gesellschaft	0075-2371	1865-8857	1960	1		2017			https://www.degruyter.com/openurl?genre=journal&issn=1865-8857		1865-8857		fulltext		De Gruyter	yearbook								P
Jahrbuch des Kölnischen Geschichtsvereins	0341-9320	2198-0675	1912			2017			https://www.degruyter.com/openurl?genre=journal&issn=2198-0675		2198-0675		fulltext		Böhlau Verlag	yearbook								P
Jahrbuch für die Geschichte Mittel- und Ostdeutschlands	0075-2614	2191-9909	2009			2017			https://www.degruyter.com/openurl?genre=journal&issn=2191-9909		2191-9909		fulltext		De Gruyter	yearbook								P
Jahrbuch für Germanistische Sprachgeschichte	1869-7038	1869-7046	2010			2017			https://www.degruyter.com/openurl?genre=journal&issn=1869-7046		1869-7046		fulltext		De Gruyter	yearbook								P
Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook	0075-2800	2196-6842	1960	1		2017	58		https://www.degruyter.com/openurl?genre=journal&issn=2196-6842		2196-6842		fulltext		Akademie Verlag	serial								P
Jahrbuch für Wissenschaft und Ethik	1430-9017	1613-1142	1996			2017			https://www.degruyter.com/openurl?genre=journal&issn=1613-1142		1613-1142		fulltext		De Gruyter	yearbook								P
Journal der Juristischen Zeitgeschichte	1863-9984	1868-8810	2010	4		2017	11		https://www.degruyter.com/openurl?genre=journal&issn=1868-8810		1868-8810		fulltext		De Gruyter	serial								P
Journal des Économistes et des Études Humaines	2194-5799	2153-1552	1995	6		2017	23		https://www.degruyter.com/openurl?genre=journal&issn=2153-1552		2153-1552		fulltext		De Gruyter	serial								P
Journal for Manufacturing Science and Production 	2191-4184	2191-0375	1997	1		2016	16		https://www.degruyter.com/openurl?genre=journal&issn=2191-0375		2191-0375		fulltext		De Gruyter	serial								P
